t,x (m),y (m),z (m) 
0,-0.097,-0.0146,-0.0905
0.02,-0.0971,-0.0146,-0.0906
0.04,-0.0969,-0.0145,-0.0904
0.06,-0.0971,-0.0146,-0.0906
0.08,-0.0968,-0.0145,-0.0905
0.1,-0.0969,-0.0147,-0.0905
0.12,-0.0969,-0.0147,-0.0905
0.14,-0.0968,-0.0146,-0.0905
0.16,-0.0966,-0.0147,-0.0903
0.18,-0.0967,-0.0145,-0.0904
0.2,-0.097,-0.0146,-0.0905
0.22,-0.097,-0.0146,-0.0905
0.24,-0.0968,-0.0145,-0.0904
0.26,-0.0964,-0.0152,-0.0901
0.28,-0.0968,-0.0146,-0.0904
0.3,-0.0966,-0.0147,-0.0901
0.32,-0.0967,-0.0148,-0.0901
0.34,-0.0968,-0.0148,-0.0902
0.36,-0.0967,-0.0148,-0.0901
0.38,-0.0966,-0.0147,-0.0901
0.4,-0.0967,-0.0149,-0.0902
0.42,-0.0967,-0.0148,-0.0901
0.44,-0.0967,-0.0148,-0.0902
0.46,-0.0967,-0.0148,-0.0901
0.48,-0.0967,-0.0148,-0.0902
0.5,-0.0969,-0.0146,-0.0904
0.52,-0.0967,-0.0146,-0.0902
0.54,-0.0967,-0.0146,-0.0902
0.56,-0.0967,-0.0146,-0.0902
0.58,-0.0966,-0.0146,-0.0901
0.6,-0.0967,-0.0147,-0.0903
0.62,-0.0967,-0.0147,-0.0903
0.64,-0.0967,-0.0146,-0.0903
0.66,-0.0967,-0.0147,-0.0903
0.68,-0.0967,-0.0146,-0.0903
0.7,-0.0967,-0.0147,-0.0903
0.72,-0.0967,-0.0147,-0.0902
0.74,-0.0967,-0.0146,-0.0903
0.76,-0.0967,-0.0146,-0.0903
0.78,-0.0967,-0.0146,-0.0903
0.8,-0.0967,-0.0147,-0.0903
0.82,-0.0967,-0.0147,-0.0903
0.84,-0.0967,-0.0146,-0.0903
0.86,-0.0966,-0.0147,-0.0903
0.88,-0.0966,-0.0147,-0.0903
0.9,-0.0967,-0.0147,-0.0903
0.92,-0.0967,-0.0145,-0.0903
0.94,-0.0967,-0.0147,-0.0903
0.96,-0.0967,-0.0147,-0.0903
