t,x,y,z
0,-0.0823,-0.0106,-0.0908
0.02,-0.0823,-0.0105,-0.0909
0.042,-0.0822,-0.0105,-0.0909
0.062,-0.0821,-0.0106,-0.0907
0.079,-0.0822,-0.0106,-0.0907
0.099,-0.0821,-0.0106,-0.0907
0.12,-0.0821,-0.0106,-0.0907
0.139,-0.0821,-0.0107,-0.0907
0.159,-0.0821,-0.0106,-0.0906
0.18,-0.0825,-0.0109,-0.0909
0.2,-0.0825,-0.0109,-0.0909
0.229,-0.0825,-0.0109,-0.0909
0.249,-0.0821,-0.0107,-0.0907
0.269,-0.0825,-0.0109,-0.0908
0.28,-0.0823,-0.0109,-0.0908
0.3,-0.0822,-0.0107,-0.0906
0.32,-0.0822,-0.0107,-0.0906
0.34,-0.0826,-0.011,-0.0907
0.36,-0.0809,-0.0104,-0.09
0.38,-0.0818,-0.0105,-0.0904
0.4,-0.0819,-0.0107,-0.0904
0.42,-0.0821,-0.0109,-0.0907
0.44,-0.0821,-0.0106,-0.0906
0.46,-0.0826,-0.0109,-0.0908
0.48,-0.0823,-0.0109,-0.0907
0.5,-0.0823,-0.0109,-0.0907
0.52,-0.0825,-0.0109,-0.0906
0.54,-0.0819,-0.0107,-0.0905
0.56,-0.0823,-0.0109,-0.0907
0.58,-0.082,-0.0106,-0.0905
0.599,-0.0821,-0.0106,-0.0906
0.62,-0.0822,-0.0091,-0.0912
0.64,-0.0819,-0.0107,-0.0904
0.66,-0.0821,-0.0107,-0.0906
0.68,-0.0817,-0.0103,-0.0906
0.7,-0.0817,-0.0103,-0.0906
0.72,-0.0817,-0.0103,-0.0906
0.741,-0.0823,-0.011,-0.0904
0.761,-0.0821,-0.0105,-0.0905
0.78,-0.0823,-0.0107,-0.0907
0.799,-0.0819,-0.0107,-0.0904
0.819,-0.0824,-0.0107,-0.0906
0.839,-0.0824,-0.0107,-0.0907
0.86,-0.082,-0.0107,-0.0905
0.88,-0.082,-0.0106,-0.0905
0.9,-0.0824,-0.0109,-0.0906
0.924,-0.0819,-0.0107,-0.0905
0.944,-0.0824,-0.0109,-0.0906
0.965,-0.0823,-0.0107,-0.0907
0.985,-0.0824,-0.0109,-0.0906
1,-0.082,-0.0107,-0.0905
1.02,-0.0823,-0.0109,-0.0907
1.04,-0.082,-0.0105,-0.0906
1.06,-0.0823,-0.0109,-0.0907
1.08,-0.0823,-0.0109,-0.0907
1.1,-0.0821,-0.0107,-0.0905
1.126,-0.082,-0.0105,-0.0906
1.146,-0.082,-0.0107,-0.0905
1.16,-0.0823,-0.0107,-0.0907
1.18,-0.0819,-0.0107,-0.0905
1.2,-0.0823,-0.011,-0.0907
1.221,-0.0824,-0.0109,-0.0906
1.241,-0.082,-0.0107,-0.0904
1.261,-0.0823,-0.0109,-0.0907
1.281,-0.0823,-0.0109,-0.0907
1.301,-0.0823,-0.0109,-0.0907
1.321,-0.0821,-0.0107,-0.0904
1.341,-0.0821,-0.0107,-0.0904
1.36,-0.082,-0.0106,-0.0905
1.38,-0.082,-0.0105,-0.0906
1.401,-0.0823,-0.0109,-0.0907
1.421,-0.0821,-0.0107,-0.0905
1.441,-0.0821,-0.0107,-0.0905
1.461,-0.082,-0.0107,-0.0905
1.481,-0.0821,-0.0105,-0.0906
1.501,-0.082,-0.0105,-0.0906
1.52,-0.0819,-0.0105,-0.0906
1.54,-0.082,-0.0106,-0.0906
1.561,-0.0821,-0.0105,-0.0906
1.581,-0.0823,-0.0107,-0.0908
1.601,-0.0824,-0.0106,-0.0908
1.627,-0.0827,-0.0107,-0.0908
1.647,-0.0825,-0.0107,-0.0907
1.667,-0.0823,-0.0109,-0.0908
1.687,-0.0821,-0.0105,-0.0906
1.7,-0.0824,-0.0107,-0.0908
1.721,-0.0823,-0.0109,-0.0908
1.739,-0.0824,-0.0107,-0.0909
1.759,-0.082,-0.0104,-0.0907
1.779,-0.0821,-0.0105,-0.0907
1.8,-0.082,-0.0106,-0.0906
1.825,-0.082,-0.0105,-0.0907
1.845,-0.082,-0.0104,-0.0907
1.86,-0.0821,-0.0104,-0.0907
1.881,-0.0821,-0.0104,-0.0907
1.9,-0.0821,-0.0104,-0.0908
1.92,-0.082,-0.0105,-0.0906
1.945,-0.0819,-0.0106,-0.0906
1.966,-0.0821,-0.0105,-0.0907
1.986,-0.082,-0.0106,-0.0906
2,-0.0821,-0.0106,-0.0906
2.02,-0.0823,-0.0107,-0.0908
2.04,-0.082,-0.0104,-0.0908
2.06,-0.0821,-0.0104,-0.0908
2.08,-0.082,-0.0105,-0.0906
2.101,-0.082,-0.0106,-0.0906
2.12,-0.082,-0.0104,-0.0907
2.142,-0.082,-0.0106,-0.0907
2.162,-0.082,-0.0106,-0.0907
2.18,-0.0819,-0.0106,-0.0906
2.2,-0.0819,-0.0106,-0.0906
2.22,-0.0823,-0.0109,-0.0908
2.24,-0.0823,-0.0107,-0.0909
2.26,-0.082,-0.0104,-0.0908
2.28,-0.082,-0.0104,-0.0907
2.3,-0.082,-0.0106,-0.0906
2.32,-0.082,-0.0106,-0.0906
2.347,-0.0821,-0.0104,-0.0907
2.367,-0.082,-0.0104,-0.0907
2.387,-0.082,-0.0104,-0.0908
2.4,-0.082,-0.0106,-0.0906
2.421,-0.082,-0.0104,-0.0907
2.44,-0.082,-0.0104,-0.0908
2.46,-0.082,-0.0104,-0.0908
2.481,-0.082,-0.0104,-0.0908
2.501,-0.082,-0.0104,-0.0908
2.521,-0.082,-0.0106,-0.0906
2.541,-0.0819,-0.0105,-0.0906
2.562,-0.082,-0.0104,-0.0908
2.58,-0.082,-0.0104,-0.0908
2.6,-0.082,-0.0104,-0.0908
2.621,-0.0823,-0.0107,-0.0909
2.641,-0.0819,-0.0103,-0.0907
2.661,-0.082,-0.0104,-0.0908
2.681,-0.082,-0.0103,-0.0908
2.701,-0.082,-0.0103,-0.0908
2.721,-0.082,-0.0104,-0.0908
2.74,-0.0819,-0.0104,-0.0907
2.76,-0.0828,-0.0107,-0.0913
2.78,-0.0827,-0.0107,-0.0913
2.8,-0.0825,-0.0105,-0.0911
2.82,-0.0826,-0.0105,-0.0912
2.842,-0.0822,-0.0103,-0.0909
2.862,-0.0819,-0.0098,-0.0909
2.88,-0.0821,-0.01,-0.0909
2.901,-0.0821,-0.01,-0.0909
2.921,-0.0821,-0.0099,-0.0909
2.94,-0.0819,-0.0097,-0.0908
2.96,-0.082,-0.0096,-0.0909
2.98,-0.0822,-0.0097,-0.0909
3,-0.0823,-0.0096,-0.0909
3.02,-0.0823,-0.0095,-0.0909
3.044,-0.0822,-0.0094,-0.0909
3.064,-0.0826,-0.0094,-0.0912
3.08,-0.0822,-0.0091,-0.091
3.1,-0.0822,-0.0089,-0.0909
3.12,-0.0825,-0.0089,-0.0912
3.14,-0.0822,-0.0083,-0.091
3.161,-0.0822,-0.0079,-0.091
3.18,-0.0823,-0.0078,-0.0909
3.201,-0.0821,-0.0072,-0.091
3.221,-0.0819,-0.0069,-0.0909
3.24,-0.0818,-0.0065,-0.0908
3.261,-0.0817,-0.0063,-0.0909
3.28,-0.0816,-0.0063,-0.0909
3.3,-0.0821,-0.0067,-0.0909
3.32,-0.0822,-0.0071,-0.0909
3.35,-0.0822,-0.0073,-0.0909
3.37,-0.0822,-0.0075,-0.0908
3.39,-0.0822,-0.0079,-0.0909
3.401,-0.0819,-0.0078,-0.091
3.421,-0.0819,-0.0081,-0.0909
3.441,-0.0822,-0.0086,-0.0911
3.461,-0.0824,-0.009,-0.0912
3.481,-0.0824,-0.009,-0.0912
3.501,-0.0818,-0.0088,-0.0908
3.521,-0.0824,-0.0095,-0.0912
3.547,-0.0824,-0.0097,-0.0912
3.567,-0.0824,-0.01,-0.0912
3.587,-0.0821,-0.01,-0.0911
3.607,-0.0818,-0.0101,-0.0908
3.62,-0.0818,-0.0105,-0.0908
3.64,-0.0823,-0.0111,-0.091
3.66,-0.0823,-0.0113,-0.0911
3.68,-0.0823,-0.0113,-0.0911
3.7,-0.0823,-0.0111,-0.091
3.72,-0.0824,-0.0108,-0.091
3.74,-0.0824,-0.0107,-0.091
3.76,-0.0824,-0.0104,-0.091
3.78,-0.0823,-0.0099,-0.0909
3.801,-0.0822,-0.0098,-0.091
3.821,-0.0823,-0.0097,-0.0909
3.841,-0.0823,-0.0096,-0.0909
3.861,-0.0823,-0.0095,-0.091
3.881,-0.0821,-0.0097,-0.0908
3.901,-0.082,-0.0096,-0.0908
3.92,-0.0821,-0.0097,-0.0908
3.94,-0.0821,-0.0097,-0.0909
3.96,-0.0821,-0.0095,-0.0908
3.98,-0.0821,-0.0097,-0.0908
4,-0.082,-0.0098,-0.0907
4.021,-0.0822,-0.0096,-0.091
4.043,-0.0822,-0.0097,-0.091
4.063,-0.0822,-0.0097,-0.091
4.083,-0.0823,-0.0098,-0.091
4.103,-0.0821,-0.01,-0.091
4.121,-0.0822,-0.0101,-0.091
4.141,-0.0823,-0.0106,-0.091
4.161,-0.0824,-0.0107,-0.091
4.181,-0.0825,-0.0108,-0.091
4.201,-0.0818,-0.0107,-0.0905
4.221,-0.0824,-0.0113,-0.0909
4.245,-0.082,-0.011,-0.0906
4.265,-0.0819,-0.0109,-0.0906
4.285,-0.0824,-0.011,-0.0909
4.305,-0.0818,-0.0104,-0.0905
4.321,-0.0824,-0.0108,-0.091
4.341,-0.0823,-0.0107,-0.091
4.36,-0.0822,-0.0103,-0.0909
4.381,-0.0822,-0.0103,-0.0909
4.401,-0.0823,-0.0102,-0.0909
4.421,-0.0823,-0.0103,-0.0909
4.447,-0.0822,-0.0105,-0.0908
4.467,-0.0822,-0.0104,-0.0909
4.487,-0.0822,-0.0105,-0.0908
4.501,-0.0822,-0.0108,-0.0908
4.52,-0.0822,-0.0107,-0.0908
4.541,-0.0822,-0.0108,-0.0907
4.56,-0.0823,-0.0107,-0.0908
4.581,-0.0823,-0.0106,-0.0908
4.601,-0.0823,-0.0104,-0.0908
4.621,-0.0823,-0.0107,-0.0909
4.641,-0.0823,-0.0108,-0.0909
4.661,-0.0823,-0.0107,-0.0909
4.681,-0.0823,-0.0107,-0.0909
4.701,-0.0823,-0.0106,-0.0909
4.721,-0.0823,-0.0106,-0.0909
4.75,-0.0822,-0.0104,-0.0908
4.77,-0.0822,-0.0104,-0.0908
4.79,-0.0823,-0.0106,-0.0908
4.802,-0.0823,-0.0106,-0.0908
4.821,-0.0823,-0.0106,-0.0908
4.842,-0.0823,-0.0107,-0.0908
4.861,-0.0823,-0.0106,-0.0907
4.881,-0.0823,-0.0105,-0.0907
4.901,-0.0822,-0.0105,-0.0907
4.921,-0.0822,-0.0105,-0.0906
4.941,-0.0822,-0.0105,-0.0907
4.962,-0.0822,-0.0105,-0.0908
4.982,-0.0823,-0.0106,-0.0907
5.002,-0.0823,-0.0106,-0.0906
5.021,-0.0822,-0.0111,-0.0908
5.041,-0.0824,-0.011,-0.0907
5.061,-0.0823,-0.0106,-0.0907
5.081,-0.0823,-0.0108,-0.0908
5.101,-0.0823,-0.0109,-0.0908
5.126,-0.0823,-0.0111,-0.091
5.146,-0.0822,-0.0103,-0.0908
5.161,-0.0821,-0.0102,-0.0908
5.181,-0.0817,-0.01,-0.0909
5.201,-0.0817,-0.0101,-0.0908
5.221,-0.0819,-0.01,-0.0908
5.241,-0.0819,-0.0101,-0.0908
5.261,-0.0819,-0.0102,-0.0906
5.281,-0.0818,-0.0102,-0.0907
5.301,-0.0813,-0.0103,-0.0905
5.321,-0.0815,-0.0104,-0.0906
5.341,-0.0815,-0.0103,-0.0905
5.361,-0.0815,-0.0104,-0.0906
5.381,-0.0814,-0.0104,-0.0905
5.401,-0.0814,-0.0103,-0.0906
5.421,-0.0814,-0.0103,-0.0906
5.441,-0.0815,-0.0103,-0.0907
5.461,-0.0815,-0.0104,-0.0907
5.481,-0.0818,-0.0105,-0.0906
5.501,-0.0818,-0.0106,-0.0906
5.521,-0.0818,-0.0105,-0.0906
5.542,-0.0819,-0.0106,-0.0906
5.561,-0.0823,-0.0111,-0.0908
5.581,-0.0825,-0.0111,-0.0907
5.601,-0.0824,-0.0105,-0.0907
5.621,-0.082,-0.0104,-0.0906
5.641,-0.0811,-0.01,-0.0906
5.669,-0.0811,-0.01,-0.0906
5.689,-0.0811,-0.01,-0.0906
5.709,-0.0811,-0.01,-0.0906
5.722,-0.081,-0.0099,-0.0907
5.742,-0.0812,-0.0099,-0.0907
5.762,-0.0817,-0.01,-0.0905
5.782,-0.0817,-0.01,-0.0905
5.802,-0.082,-0.0099,-0.0906
5.822,-0.082,-0.0099,-0.0906
5.841,-0.0816,-0.01,-0.0908
5.861,-0.0817,-0.0101,-0.0906
5.881,-0.0816,-0.01,-0.0908
5.901,-0.0816,-0.0101,-0.0912
5.921,-0.0819,-0.0101,-0.0908
5.941,-0.0817,-0.0099,-0.091
5.961,-0.0818,-0.0102,-0.0908
5.981,-0.0816,-0.01,-0.0909
6.001,-0.0819,-0.0102,-0.0908
6.021,-0.0816,-0.0099,-0.0909
6.041,-0.0816,-0.01,-0.0909
6.061,-0.0817,-0.01,-0.0908
6.081,-0.0819,-0.0101,-0.0907
6.102,-0.0819,-0.0101,-0.0907
6.121,-0.0817,-0.0101,-0.0909
6.141,-0.0817,-0.0103,-0.0908
6.164,-0.0817,-0.0106,-0.0907
6.184,-0.0812,-0.0113,-0.0906
6.202,-0.0802,-0.0124,-0.0908
6.222,-0.0792,-0.0132,-0.0912
6.241,-0.0787,-0.0133,-0.0922
6.261,-0.078,-0.0134,-0.093
6.281,-0.0771,-0.0138,-0.0939
6.301,-0.0758,-0.0138,-0.0958
6.321,-0.074,-0.0144,-0.0972
6.342,-0.0728,-0.0152,-0.0998
6.366,-0.0728,-0.0164,-0.1002
6.386,-0.0728,-0.0164,-0.1002
6.405,-0.0751,-0.0186,-0.0957
6.421,-0.0757,-0.0192,-0.0958
6.442,-0.0761,-0.0197,-0.0962
6.462,-0.0763,-0.0204,-0.097
6.491,-0.0761,-0.0206,-0.0982
6.511,-0.0757,-0.0199,-0.1011
6.531,-0.0748,-0.02,-0.1033
6.551,-0.0747,-0.0194,-0.1059
6.562,-0.0747,-0.019,-0.1081
6.582,-0.0753,-0.0182,-0.109
6.602,-0.0762,-0.0181,-0.1091
6.621,-0.0772,-0.0187,-0.1088
6.642,-0.0779,-0.0203,-0.1095
6.661,-0.0784,-0.0216,-0.1101
6.689,-0.0784,-0.0216,-0.1101
6.709,-0.0784,-0.0216,-0.1101
6.729,-0.0784,-0.0216,-0.1101
6.749,-0.0784,-0.0216,-0.1101
6.762,-0.0784,-0.0216,-0.1101
6.782,-0.0784,-0.0216,-0.1101
6.801,-0.0784,-0.0216,-0.1101
6.822,-0.0784,-0.0216,-0.1101
6.842,-0.0784,-0.0216,-0.1101
6.862,-0.0784,-0.0216,-0.1101
6.883,-0.0784,-0.0216,-0.1101
6.903,-0.0784,-0.0216,-0.1101
6.922,-0.0784,-0.0216,-0.1101
6.942,-0.0784,-0.0216,-0.1101
6.962,-0.0784,-0.0216,-0.1101
6.982,-0.0784,-0.0216,-0.1101
7.002,-0.0784,-0.0216,-0.1101
7.022,-0.0784,-0.0216,-0.1101
7.048,-0.0784,-0.0216,-0.1101
7.068,-0.0784,-0.0216,-0.1101
7.088,-0.0784,-0.0216,-0.1101
7.108,-0.0784,-0.0216,-0.1101
7.122,-0.0784,-0.0216,-0.1101
7.142,-0.0784,-0.0216,-0.1101
7.162,-0.0784,-0.0216,-0.1101
7.182,-0.0784,-0.0216,-0.1101
7.202,-0.0784,-0.0216,-0.1101
7.222,-0.0784,-0.0216,-0.1101
7.25,-0.0784,-0.0216,-0.1101
7.27,-0.0784,-0.0216,-0.1101
7.281,-0.0784,-0.0216,-0.1101
7.302,-0.0784,-0.0216,-0.1101
7.322,-0.0784,-0.0216,-0.1101
7.342,-0.0784,-0.0216,-0.1101
7.362,-0.0784,-0.0216,-0.1101
7.382,-0.0784,-0.0216,-0.1101
7.41,-0.0784,-0.0216,-0.1101
7.423,-0.0784,-0.0216,-0.1101
7.443,-0.1147,-0.1291,-0.1785
7.463,-0.1147,-0.1291,-0.1785
7.481,-0.1147,-0.1291,-0.1785
7.502,-0.1147,-0.1291,-0.1785
7.522,-0.1147,-0.1291,-0.1785
7.55,-0.1147,-0.1291,-0.1785
7.57,-0.1147,-0.1291,-0.1785
7.582,-0.1147,-0.1291,-0.1785
7.602,-0.1147,-0.1291,-0.1785
7.622,-0.117,-0.1242,-0.2262
7.642,-0.1162,-0.124,-0.2315
7.663,-0.1151,-0.1235,-0.2367
7.682,-0.1151,-0.1235,-0.2367
7.702,-0.1151,-0.1235,-0.2367
7.731,-0.1151,-0.1235,-0.2367
7.751,-0.1069,-0.1227,-0.256
7.771,-0.1069,-0.1227,-0.256
7.783,-0.1069,-0.1227,-0.256
